date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
4/27/19,AAPL,5/24/19,190,Put,1.77,1.82,0.3003,-0.186,0.0159,-0.0787,0.1487,-0.0279
4/27/19,AAPL,5/24/19,195,Call,11.9,12.1,0.2966,0.73,0.021,-0.1145,0.183,0.0882
4/27/19,AAPL,5/24/19,195,Put,2.83,2.89,0.2884,-0.2743,0.0206,-0.0934,0.1869,-0.0404
4/27/19,AAPL,5/24/19,200,Call,8.45,8.6,0.2841,0.6179,0.0247,-0.1211,0.2134,0.0823
4/27/19,AAPL,5/24/19,200,Put,4.4,4.5,0.2787,-0.3866,0.0246,-0.1027,0.2149,-0.0555
4/27/19,AAPL,5/24/19,205,Call,5.6,5.75,0.2737,0.49,0.0263,-0.1184,0.2254,0.0697
4/27/19,AAPL,5/24/19,205,Put,6.65,6.75,0.2723,-0.5148,0.0263,-0.1032,0.2254,-0.0708
4/27/19,AAPL,6/21/19,185,Call,21.1,21.3,0.27,0.84,0.0113,-0.0573,0.194,0.2298
4/27/19,AAPL,6/21/19,185,Put,1.87,1.9,0.2688,-0.1594,0.0114,-0.0444,0.2022,-0.0477
4/27/19,AAPL,6/21/19,190,Call,16.95,17.15,0.258,0.7802,0.0145,-0.0646,0.2417,0.2181
4/27/19,AAPL,6/21/19,190,Put,2.76,2.79,0.2591,-0.2222,0.0145,-0.052,0.2422,-0.0656
4/27/19,AAPL,6/21/19,195,Call,13.2,13.4,0.2494,0.7018,0.0175,-0.0709,0.2758,0.1996
4/27/19,AAPL,6/21/19,195,Put,4,4.05,0.2507,-0.3013,0.0176,-0.0583,0.2765,-0.0873
4/27/19,AAPL,6/21/19,200,Call,9.95,10.1,0.2431,0.6083,0.0199,-0.0748,0.3086,0.1755
4/27/19,AAPL,6/21/19,200,Put,5.7,5.8,0.2444,-0.3956,0.0201,-0.062,0.3088,-0.1112
4/27/19,AAPL,6/21/19,205,Call,7.15,7.35,0.2371,0.5053,0.0212,-0.0743,0.3189,0.1477
4/27/19,AAPL,6/21/19,205,Put,7.95,8.05,0.2391,-0.4998,0.0214,-0.0617,0.3183,-0.135
5/4/19,AAPL,5/17/19,190,Call,21.75,21.9,0.281,0.9912,0.0027,-0.026,0.0106,0.0318
5/4/19,AAPL,5/17/19,190,Put,0.11,0.12,0.281,-0.0256,0.0051,-0.0244,0.0247,-0.0021
5/4/19,AAPL,5/17/19,197.5,Call,14.3,14.55,0.23,0.9668,0.0102,-0.0459,0.0321,0.0351
5/4/19,AAPL,5/17/19,197.5,Put,0.25,0.28,0.2277,-0.0637,0.0133,-0.041,0.0515,-0.0052
5/4/19,AAPL,5/17/19,202.5,Call,9.5,9.7,0.1982,0.9095,0.0253,-0.0732,0.0676,0.0362
5/4/19,AAPL,5/17/19,202.5,Put,0.62,0.65,0.2051,-0.1434,0.0268,-0.0667,0.0963,-0.011
5/4/19,AAPL,5/31/19,190,Call,21.75,22.05,0.2359,0.9774,0.0061,-0.0334,0.0334,0.0486
5/4/19,AAPL,5/31/19,190,Put,0.31,0.33,0.2424,-0.0523,0.0076,-0.0263,0.0625,-0.0087
5/4/19,AAPL,5/31/19,197.5,Call,14.6,14.9,0.2161,0.9007,0.0182,-0.0639,0.1035,0.0833
5/4/19,AAPL,5/31/19,197.5,Put,0.72,0.75,0.2121,-0.1178,0.016,-0.0422,0.1208,-0.0181
5/4/19,AAPL,5/31/19,202.5,Call,10.2,10.4,0.1972,0.805,0.0278,-0.0769,0.1603,0.0987
5/4/19,AAPL,5/31/19,202.5,Put,1.38,1.43,0.1977,-0.2094,0.0251,-0.0567,0.1683,-0.0315
5/4/19,AAPL,6/21/19,190,Call,22.3,22.5,0.2281,0.9117,0.0099,-0.0431,0.1251,0.221
5/4/19,AAPL,6/21/19,190,Put,0.75,0.78,0.2274,-0.0904,0.0093,-0.028,0.1273,-0.0246
5/4/19,AAPL,6/21/19,195,Call,17.8,18,0.2172,0.8582,0.0134,-0.0497,0.1735,0.219
5/4/19,AAPL,6/21/19,195,Put,1.21,1.24,0.2149,-0.1398,0.0135,-0.0359,0.1807,-0.0374
5/4/19,AAPL,6/21/19,205,Call,9.85,10,0.198,0.6843,0.0233,-0.0651,0.2802,0.1813
5/4/19,AAPL,6/21/19,205,Put,3.2,3.3,0.1971,-0.318,0.0238,-0.0514,0.2806,-0.081
5/10/19,AAPL,5/24/19,190,Call,9.2,9.45,0.3156,0.7411,0.0266,-0.1502,0.1249,0.0524
5/10/19,AAPL,5/24/19,190,Put,1.81,1.89,0.306,-0.2533,0.0273,-0.1323,0.1217,-0.0181
5/10/19,AAPL,5/24/19,192.5,Call,7.35,7.55,0.3036,0.6736,0.0308,-0.1596,0.1392,0.0481
5/10/19,AAPL,5/24/19,192.5,Put,2.44,2.55,0.2965,-0.3237,0.0316,-0.1435,0.1369,-0.0228
5/10/19,AAPL,5/24/19,197.5,Call,4.25,4.45,0.2867,0.5064,0.036,-0.1643,0.154,0.0366
5/10/19,AAPL,5/24/19,197.5,Put,4.3,4.45,0.2787,-0.4957,0.0374,-0.1479,0.154,-0.0333
5/10/19,AAPL,5/24/19,200,Call,3.05,3.2,0.2782,0.4145,0.0363,-0.155,0.1504,0.0301
5/10/19,AAPL,5/24/19,200,Put,5.6,5.75,0.2716,-0.5905,0.0375,-0.1391,0.1508,-0.0384
5/10/19,AAPL,5/24/19,205,Call,1.42,1.51,0.2694,0.2442,0.0302,-0.1198,0.1211,0.0179
5/10/19,AAPL,5/24/19,205,Put,8.9,9.15,0.2611,-0.7677,0.0311,-0.102,0.1188,-0.0441
5/10/19,AAPL,6/7/19,190,Call,10.3,10.55,0.2764,0.7081,0.0228,-0.1014,0.1875,0.0991
5/10/19,AAPL,6/7/19,190,Put,2.74,2.86,0.2714,-0.2899,0.0233,-0.0873,0.1909,-0.0409
5/10/19,AAPL,6/7/19,192.5,Call,8.55,8.75,0.2688,0.6501,0.0252,-0.1053,0.2022,0.0917
5/10/19,AAPL,6/7/19,192.5,Put,3.45,3.6,0.2641,-0.3494,0.0259,-0.0913,0.2008,-0.0487
5/10/19,AAPL,6/7/19,197.5,Call,5.5,5.7,0.2559,0.5157,0.0285,-0.106,0.2177,0.0737
5/10/19,AAPL,6/7/19,197.5,Put,5.4,5.55,0.2513,-0.4874,0.0295,-0.0922,0.2176,-0.0649
5/10/19,AAPL,6/7/19,200,Call,4.25,4.45,0.2502,0.4432,0.0289,-0.102,0.2156,0.0637
5/10/19,AAPL,6/7/19,200,Put,6.65,6.85,0.2468,-0.5619,0.0298,-0.0886,0.2133,-0.0724
5/10/19,AAPL,6/7/19,205,Call,2.4,2.53,0.2427,0.3026,0.0263,-0.0865,0.1906,0.0439
5/10/19,AAPL,6/7/19,205,Put,9.75,9.95,0.2372,-0.7087,0.0274,-0.0719,0.1913,-0.0827
5/10/19,AAPL,6/28/19,190,Call,11.8,12,0.2599,0.6818,0.019,-0.0768,0.2577,0.1645
5/10/19,AAPL,6/28/19,190,Put,3.9,4.05,0.2549,-0.3176,0.0196,-0.0632,0.2621,-0.0775
5/10/19,AAPL,6/28/19,192.5,Call,10.1,10.3,0.2543,0.6333,0.0205,-0.0785,0.2719,0.1539
5/10/19,AAPL,6/28/19,192.5,Put,4.65,4.85,0.2484,-0.3673,0.0213,-0.0646,0.2731,-0.0886
5/10/19,AAPL,6/28/19,197.5,Call,7.1,7.25,0.2432,0.5256,0.0227,-0.078,0.2876,0.1295
5/10/19,AAPL,6/28/19,197.5,Put,6.7,6.85,0.2395,-0.479,0.0235,-0.0647,0.2874,-0.1107
5/10/19,AAPL,6/28/19,200,Call,5.85,6,0.2398,0.4684,0.023,-0.0763,0.2873,0.116
5/10/19,AAPL,6/28/19,200,Put,7.85,8.1,0.2341,-0.5388,0.024,-0.0623,0.2872,-0.1211
5/10/19,AAPL,6/28/19,205,Call,3.75,3.9,0.232,0.3537,0.0222,-0.0681,0.2686,0.0885
5/10/19,AAPL,6/28/19,205,Put,10.85,11.05,0.228,-0.6578,0.0232,-0.0545,0.2666,-0.1366
5/11/19,AAPL,5/24/19,190,Call,9.2,9.45,0.3156,0.7411,0.0266,-0.1502,0.1249,0.0524
5/11/19,AAPL,5/24/19,190,Put,1.81,1.89,0.306,-0.2533,0.0273,-0.1323,0.1217,-0.0181
5/11/19,AAPL,5/24/19,192.5,Call,7.35,7.55,0.3036,0.6736,0.0308,-0.1596,0.1392,0.0481
5/11/19,AAPL,5/24/19,192.5,Put,2.44,2.55,0.2965,-0.3237,0.0316,-0.1435,0.1369,-0.0228
5/11/19,AAPL,5/24/19,197.5,Call,4.25,4.45,0.2867,0.5064,0.036,-0.1643,0.154,0.0366
5/11/19,AAPL,5/24/19,197.5,Put,4.3,4.45,0.2787,-0.4957,0.0374,-0.1479,0.154,-0.0333
5/11/19,AAPL,5/24/19,200,Call,3.05,3.2,0.2782,0.4145,0.0363,-0.155,0.1504,0.0301
5/11/19,AAPL,5/24/19,200,Put,5.6,5.75,0.2716,-0.5905,0.0375,-0.1391,0.1508,-0.0384
5/11/19,AAPL,5/24/19,205,Call,1.42,1.51,0.2694,0.2442,0.0302,-0.1198,0.1211,0.0179
5/11/19,AAPL,5/24/19,205,Put,8.9,9.15,0.2611,-0.7677,0.0311,-0.102,0.1188,-0.0441
5/11/19,AAPL,6/7/19,190,Call,10.3,10.55,0.2764,0.7081,0.0228,-0.1014,0.1875,0.0991
5/11/19,AAPL,6/7/19,190,Put,2.74,2.86,0.2714,-0.2899,0.0233,-0.0873,0.1909,-0.0409
5/11/19,AAPL,6/7/19,192.5,Call,8.55,8.75,0.2688,0.6501,0.0252,-0.1053,0.2022,0.0917
5/11/19,AAPL,6/7/19,192.5,Put,3.45,3.6,0.2641,-0.3494,0.0259,-0.0913,0.2008,-0.0487
5/11/19,AAPL,6/7/19,197.5,Call,5.5,5.7,0.2559,0.5157,0.0285,-0.106,0.2177,0.0737
5/11/19,AAPL,6/7/19,197.5,Put,5.4,5.55,0.2513,-0.4874,0.0295,-0.0922,0.2176,-0.0649
